location,name,address
Şırnak,Şırnak University,"Şırnak University, Şırnak, Türkiye"
Tekirdağ,Tekirdağ Namık Kemal University,"Tekirdağ Namık Kemal University, Tekirdağ, Türkiye"
Tokat,Tokat Gaziosmanpaşa University,"Tokat Gaziosmanpaşa University, Tokat, Türkiye"
Trabzon,Karadeniz Technical University,"Karadeniz Technical University, Trabzon, Türkiye"
,Trabzon University,"Trabzon University, , Türkiye"
,Avrasya University,"Avrasya University, , Türkiye"
Tunceli,Munzur University,"Munzur University, Tunceli, Türkiye"
Uşak,Uşak University,"Uşak University, Uşak, Türkiye"
Van,Van Yüzüncü Yıl University,"Van Yüzüncü Yıl University, Van, Türkiye"
Yalova,Yalova University,"Yalova University, Yalova, Türkiye"
Yozgat,Yozgat Bozok University,"Yozgat Bozok University, Yozgat, Türkiye"
Zonguldak,Zonguldak Bülent Ecevit University,"Zonguldak Bülent Ecevit University, Zonguldak, Türkiye"
